key,en,es,ph,yo
balance.pendingBalance,Pending,Pendiente,Nakabinbin,Nduro
billpay.accountNumber,Account Number,Número de Cuenta,Numero ng Account,Nọmba Akaun
billpay.amount,Amount,Monto,Halaga,Iye Owo
billpay.backToDashboard,Back to Dashboard,Volver al Inicio,Bumalik sa Dashboard,Pada si Ile
billpay.chooseBiller,Choose a biller,Elige un proveedor,Pumili ng biller,Yan olugba iwe-owo
billpay.paymentDate,Payment Date,Fecha de Pago,Petsa ng Pagbabayad,Ọjọ Sisanwo
billpay.paymentProcessing,Your payment is being processed,Tu pago está siendo procesado,Pinoproseso ang iyong pagbabayad,Sisanwo rẹ nṣiṣẹ
billpay.paymentSuccessful,Payment Successful,Pago Exitoso,Matagumpay ang Pagbabayad,Sisanwo ti Ṣaṣeyọri
billpay.proceedToPayment,Proceed to Payment,Proceder al Pago,Magpatuloy sa Pagbabayad,Tẹsiwaju si Sisanwo
billpay.processingInfo,"Payments typically process within 1-2 business days","Los pagos suelen procesarse en 1-2 días hábiles","Karaniwang pinoproseso ang mga pagbabayad sa loob ng 1-2 araw ng negosyo",Sisanwo maa ngba ọjọ iṣowo 1-2
billpay.referenceNumber,Reference Number,Número de Referencia,Numero ng Reperensya,Nọmba Itọkasi
billpay.reviewPayment,Review Payment,Revisar Pago,Suriin ang Pagbabayad,Ṣayẹwo Sisanwo
billpay.selectBiller,Select Biller,Seleccionar Proveedor,Pumili ng Biller,Yan Olugba Iwe-owo
billpay.selectState,Select State,Seleccionar Estado,Pumili ng Estado,Yan Ipinlẹ
billpay.submitPayment,Submit Payment,Enviar Pago,Isumite ang Pagbabayad,Fi Sisanwo ranṣẹ
billpay.title,Pay a Bill,Pagar una Factura,Magbayad ng Bill,San Iwe-owo
billpay.utilityType,Utility Type,Tipo de Servicio,Uri ng Utility,Iru Iṣẹ
card.cardHolder,Card Holder,Titular de la Tarjeta,May-ari ng Card,Eni to ni Kaadi
card.changePin,Change PIN,Cambiar PIN,Palitan ang PIN,Yipada PIN
card.changePinDescription,Update your card PIN,Actualizar tu PIN de tarjeta,I-update ang iyong PIN ng card,Ṣe imudojuiwọn PIN kaadi rẹ
card.expires,Expires,Vence,Mag-e-expire,Yoo Pari
card.freezeCard,Freeze Card,Congelar Tarjeta,I-freeze ang Card,Da Kaadi Duro
card.freezeDescription,Temporarily disable transactions,Desactivar transacciones temporalmente,Pansamantalang i-disable ang mga transaksyon,Da iṣowo duro fun igba diẹ
card.spendingLimits,Spending Limits,Límites de Gasto,Mga Limitasyon sa Paggastos,Opin Lilo Owo
card.title,My Card,Mi Tarjeta,Ang Aking Card,Kaadi Mi
check.amount,Check Amount,Monto del Cheque,Halaga ng Tseke,Iye Ṣẹki
check.back,Back,Reverso,Likod,Ẹhin
check.backInfo,Take a photo of the back of your check,Toma una foto del reverso de tu cheque,Kumuha ng larawan ng likod ng iyong tseke,Ya aworan ẹhin ṣẹki rẹ
check.captureBack,Capture Check Back,Capturar Reverso del Cheque,Kunan ang Likod ng Tseke,Ya Ẹhin Ṣẹki
check.captureFront,Capture Check Front,Capturar Frente del Cheque,Kunan ang Harapan ng Tseke,Ya Iwaju Ṣẹki
check.confirm,Confirm,Confirmar,Kumpirmahin,Jẹrisi
check.confirmInfo,Review your check details,Revisa los detalles de tu cheque,Suriin ang detalye ng iyong tseke,Ṣayẹwo alaye ṣẹki rẹ
check.fee,Processing Fee,Tarifa de Procesamiento,Bayad sa Pagproseso,Owo Ṣiṣẹ
check.front,Front,Frente,Harapan,Iwaju
check.frontInfo,Take a photo of the front of your check,Toma una foto del frente de tu cheque,Kumuha ng larawan ng harapan ng iyong tseke,Ya aworan iwaju ṣẹki rẹ
check.processing,Processing Your Check,Procesando tu Cheque,Pinoproseso ang Iyong Tseke,Nṣiṣẹ Ṣẹki Rẹ
check.processingMessage,This usually takes 2-3 minutes,Esto suele tomar 2-3 minutos,Karaniwang tumatagal ito ng 2-3 minuto,Eyi maa ngba iṣẹju 2-3
check.processingTime,Processing Time,Tiempo de Procesamiento,Oras ng Pagproseso,Akoko Ṣiṣẹ
